"","incidentid","date","statuslabel","status2","state","latitude","longitude","agencytypelabel","agencytype2","sources"
"768",503428,2016-02-11,"Fatal",1,"North Dakota",46.8858,-96.7832,"Local",1,"http://hosted.ap.org/dynamic/stories/U/US_FARGO_STANDOFF_THE_LATEST?SITE=RIPRJ&SECTION=HOME&TEMPLATE=DEFAULT,http://www.wlox.com/story/31195286/fargo-police-say-officer-shot-during-standoff-wont-survive,http://www.kxnet.com/story/31196572/fargo-police-officer-shot-and-killed-after-standoff,http://www.startribune.com/fargo-officer-shot-not-expected-to-survive-standoff-ensued-then-resolved/368450431/,http://www.odmp.org/officer/22752-police-officer-jason-moszer"
"769",503733,2016-02-11,"Fatal",1,"Georgia",33.5744,-84.4147,"Local",1,"http://www.cbs46.com/story/31198736/riverdale-officer-shot-by-suspect-has-died,http://www.foxcarolina.com/story/31198736/greg-barney-riverdale-officer-shot-dies,http://m.ajc.com/news/news/crime-law/friend-slain-riverdale-police-officer-treated-ever/nqPDZ/,http://chronicle.augusta.com/news/metro/2016-02-12/man-charged-murder-georgia-lawmans-shooting-death?v=1455322011,http://m.ajc.com/news/news/crime-law/men-charged-in-raid-that-led-to-officers-death-rel/nqPnb/,http://www.odmp.org/officer/22754-major-gregory-e-barney"
"770",504390,2016-02-12,"Nonfatal",2,"Minnesota",45.0289,-93.4448,"Local",1,"http://www.startribune.com/police-swat-team-swarm-to-active-shooter-situation-in-plymouth/368698211/,http://kstp.com/news/plymouth-intersection-apartment-complex-shooting/4047778/?cat=1,http://www.wdaz.com/news/minnesota/3948110-man-woman-killed-mn-shootings-idd-sources-say-multiple-guns-recovered,http://www.startribune.com/attorney-ids-dead-shooter-suspect-s-victim-in-plymouth-incident/368777101/,http://www.albertleatribune.com/2016/02/albert-lea-woman-speaks-out-about-murder-in-minneapolis-suburb/"
"771",504405,2016-02-16,"Nonfatal",2,"Louisiana",30.4677,-91.1333,"Local",1,"http://www.times-standard.com/general-news/20160213/the-latest-baton-rouge-police-say-2-officers-suspect-shot,http://www.wafb.com/story/31214340/2-baton-rouge-police-officers-listed-in-stable-condition-after-shooting,http://www.al.com/news/index.ssf/2016/02/baton_rouge_police_say_2_offic.html,http://www.ksla.com/story/31218488/suspect-in-saturdays-officer-involved-shooting-dies,http://www.nola.com/crime/index.ssf/2016/02/22-year-old_man_dies_after_sho.html,http://www.ksla.com/story/31222941/brpd-releases-names-of-officers-injured-in-deadly-shooting,http://www.ktvn.com/story/31215365/da-suspect-shot-first-in-battle-injuring-suspect-officers,http://theadvocate.com/news/14878098-123/da-dash-cam-video-shows-baton-rouge-officers-were-justified-in-fatally-shooting-suspect-at-end-of-ch,http://www.ksla.com/story/31228079/mother-recalls-brush-with-violence-during-saturdays-shootout,http://www.ksla.com/story/31924814/da-announces-news-conference-to-release-findings-in-deadly-officer-involved-shooting,http://www.ksla.com/story/31931029/da-report-shows-man-killed-in-officer-involved-shootout-threatened-suicide,http://www.wafb.com/story/34455727/da-releases-report-on-2016-officer-involved-shootings"
"772",504405,2016-02-16,"Nonfatal",2,"Louisiana",30.4677,-91.1333,"Local",1,"http://www.times-standard.com/general-news/20160213/the-latest-baton-rouge-police-say-2-officers-suspect-shot,http://www.wafb.com/story/31214340/2-baton-rouge-police-officers-listed-in-stable-condition-after-shooting,http://www.al.com/news/index.ssf/2016/02/baton_rouge_police_say_2_offic.html,http://www.ksla.com/story/31218488/suspect-in-saturdays-officer-involved-shooting-dies,http://www.nola.com/crime/index.ssf/2016/02/22-year-old_man_dies_after_sho.html,http://www.ksla.com/story/31222941/brpd-releases-names-of-officers-injured-in-deadly-shooting,http://www.ktvn.com/story/31215365/da-suspect-shot-first-in-battle-injuring-suspect-officers,http://theadvocate.com/news/14878098-123/da-dash-cam-video-shows-baton-rouge-officers-were-justified-in-fatally-shooting-suspect-at-end-of-ch,http://www.ksla.com/story/31228079/mother-recalls-brush-with-violence-during-saturdays-shootout,http://www.ksla.com/story/31924814/da-announces-news-conference-to-release-findings-in-deadly-officer-involved-shooting,http://www.ksla.com/story/31931029/da-report-shows-man-killed-in-officer-involved-shootout-threatened-suicide,http://www.wafb.com/story/34455727/da-releases-report-on-2016-officer-involved-shootings"
"773",504560,2016-02-13,"Nonfatal",2,"Indiana",39.7261,-86.1395,"Local",1,"http://wishtv.com/2016/02/13/officer-hit-in-mcdougal-street-shooting-suspect-in-custody/,http://fox59.com/2016/02/13/police-identify-man-accused-of-shooting-impd-officer/"
"774",506946,2016-02-17,"Nonfatal",2,"California",33.7345,-117.905,"Local",1,"http://abc7.com/news/2-suspects-killed-in-officer-involved-shooting-in-santa-ana/1206695/"
"775",507669,2016-02-19,"Nonfatal",2,"Michigan",43.5954,-83.8781,"Local",1,"http://nbc25news.com/news/local/police-involved-in-standoff-in-bay-city,http://www.mlive.com/news/grand-rapids/index.ssf/2016/02/calvin_college_professor_ident.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+grpress+%28The+Grand+Rapids+Press+Latest+News+%7C+MLive.com%29,http://www.freep.com/story/news/local/michigan/2016/02/20/man-shoots-officer-kills-self-standoff/80661690/,http://www.mlive.com/news/bay-city/index.ssf/2016/04/audio_recordings_show_gunman_l.html#incart_river_home_pop"
"776",507758,2016-02-19,"Nonfatal",2,"Tennessee",36.3309,-82.2363,"Local",1,"http://wjhl.com/2016/02/19/shooting-reported-in-elizabethton-multiple-agencies-responding/,http://wate.com/2016/02/20/elizabethon-officer-released-from-hospital-suspect-identified-in-shooting/,http://www.wcyb.com/news/officer-recovering-after-being-shot-by-wanted-man/38126692"
"777",508097,2016-02-20,"Nonfatal",2,"New York",40.6887,-73.9421,"Local",1,"http://www.nydailynews.com/new-york/nyc-crime/nypd-officers-shot-brooklyn-stable-condition-article-1.2538317?cid=bitly&utm_content=bufferc0c0e&utm_medium=social&utm_source=facebook.com&utm_campaign=buffer,http://abc7ny.com/news/nypd-2-officers-another-man-shot-in-brooklyn/1208714/,http://www.nydailynews.com/new-york/nyc-crime/nypd-officers-shot-brooklyn-stable-condition-article-1.2538317,http://nypost.com/2016/03/24/radical-islamist-charged-with-shooting-two-nypd-cops/"
